Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
280,Moi Gómez,es ESP,"MF,FW",Osasuna,30,"€ 17,308 (£ 14,609, $17,841)","€ 900,000 (£ 759,669, $927,747)",Unverified estimation
281,Mamadou Sylla,sn SEN,"FW,MF",Valladolid,30,"€ 17,308 (£ 14,609, $17,841)","€ 900,000 (£ 759,669, $927,747)",Unverified estimation
282,Ander Guevara,es ESP,MF,Alavés,27,"€ 17,308 (£ 14,609, $17,841)","€ 900,000 (£ 759,669, $927,747)",Unverified estimation
283,Rui Silva,pt POR,GK,Betis,30,"€ 17,308 (£ 14,609, $17,841)","€ 900,000 (£ 759,669, $927,747)",Unverified estimation
284,Antonio Raillo,es ESP,DF,Mallorca,32,"€ 16,923 (£ 14,284, $17,445)","€ 880,000 (£ 742,787, $907,130)",Unverified estimation
285,Antonio Sivera,es ESP,GK,Alavés,27,"€ 16,923 (£ 14,284, $17,445)","€ 880,000 (£ 742,787, $907,130)",Unverified estimation
286,Óscar Valentín,es ESP,MF,Rayo Vallecano,29,"€ 16,923 (£ 14,284, $17,445)","€ 880,000 (£ 742,787, $907,130)",Unverified estimation
287,Nacho Vidal,es ESP,DF,Osasuna,29,"€ 16,731 (£ 14,122, $17,247)","€ 870,000 (£ 734,346, $896,822)",Unverified estimation
288,Víctor Meseguer,es ESP,MF,Valladolid,25,"€ 16,731 (£ 14,122, $17,247)","€ 870,000 (£ 734,346, $896,822)",Unverified estimation
289,Aihen Muñoz,es ESP,DF,Real Sociedad,26,"€ 16,538 (£ 13,960, $17,048)","€ 860,000 (£ 725,906, $886,514)",Unverified estimation
290,Siebe Van Der Heyden,be BEL,"DF,MF",Mallorca,26,"€ 16,346 (£ 13,797, $16,850)","€ 850,000 (£ 717,465, $876,206)",Unverified estimation
291,Youssouf Sabaly,sn SEN,DF,Betis,31,"€ 16,346 (£ 13,797, $16,850)","€ 850,000 (£ 717,465, $876,206)",Unverified estimation
292,Jasper Cillessen,nl NED,GK,Las Palmas,35,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
293,Aitor Fernández,es ESP,GK,Osasuna,33,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
294,Juanmi Latasa,,CF,Valladolid,23,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
295,Héctor Fort,,RB,Barcelona,18,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
296,Diego Conde,es ESP,GK,Villarreal,25,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
297,Antonio Sánchez,es ESP,"MF,DF",Mallorca,27,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
298,Cyle Larin,ca CAN,FW,Mallorca,29,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
299,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
300,Javi Hernández,es ESP,DF,Leganés,26,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
301,Roberto López,es ESP,MF,Leganés,24,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
302,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
303,Leandro Cabrera,uy URU,DF,Espanyol,33,"€ 16,154 (£ 13,635, $16,652)","€ 840,000 (£ 709,024, $865,897)",Unverified estimation
