Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
167,Rogério,br BRA,LB,Wolfsburg,27,"€ 32,692 (£ 27,595, $33,700)","€ 1,700,000 (£ 1,434,930, $1,752,411)",Unverified estimation
168,Arnaud Nordin,fr FRA,"DF,MF",Mainz 05,26,"€ 32,692 (£ 27,566, $36,593)","€ 1,700,000 (£ 1,433,426, $1,902,821)",Unverified estimation
169,Karim Onisiwo,at AUT,"MF,FW",Mainz 05,32,"€ 32,692 (£ 27,595, $33,700)","€ 1,700,000 (£ 1,434,930, $1,752,411)",Unverified estimation
170,Nadiem Amiri,de GER,MF,Mainz 05,27,"€ 32,692 (£ 27,595, $33,700)","€ 1,700,000 (£ 1,434,930, $1,752,411)",Unverified estimation
171,Anthony Caci,fr FRA,DF,Mainz 05,27,"€ 32,308 (£ 27,270, $33,304)","€ 1,680,000 (£ 1,418,048, $1,731,795)",Unverified estimation
172,Josip Juranović,hr CRO,"DF,MF",Union Berlin,28,"€ 30,769 (£ 25,972, $31,718)","€ 1,600,000 (£ 1,350,522, $1,649,328)",Unverified estimation
173,László Bénes,sk SVK,"MF,FW",Union Berlin,26,"€ 30,769 (£ 25,972, $31,718)","€ 1,600,000 (£ 1,350,522, $1,649,328)",Unverified estimation
174,Omar Marmoush,eg EGY,FW,Eint Frankfurt,25,"€ 30,769 (£ 25,972, $31,718)","€ 1,600,000 (£ 1,350,522, $1,649,328)",Unverified estimation
175,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
176,Arijon Ibrahimović,,LW,Bayern Munich,18,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
177,Daniel Peretz,,GK,Bayern Munich,24,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",
178,Benedikt Gimber,de GER,DF,Heidenheim,27,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
179,Kamil Grabara,pl POL,GK,Wolfsburg,25,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
180,Tiago Tomás,pt POR,"FW,MF",Wolfsburg,22,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
181,André Silva,pt POR,FW,Werder Bremen,28,"€ 28,846 (£ 24,323, $32,288)","€ 1,500,000 (£ 1,264,788, $1,678,960)",
182,Jérôme Roussillon,fr FRA,"DF,MF",Union Berlin,31,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
183,Robert Skov,dk DEN,"DF,MF",Union Berlin,28,"€ 28,846 (£ 24,323, $32,288)","€ 1,500,000 (£ 1,264,788, $1,678,960)",Unverified estimation
184,Antonio Nusa,no NOR,"MF,DF",RB Leipzig,19,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
185,Ibrahima Sissoko,ml MLI,MF,Bochum,26,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",Unverified estimation
186,Tuta,br BRA,"DF,MF",Eint Frankfurt,25,"€ 28,846 (£ 24,348, $29,735)","€ 1,500,000 (£ 1,266,114, $1,546,245)",
