Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
440,Yahia Fofana,ci CIV,GK,Angers,23,"€ 4,615 (£ 3,896, $4,758)","€ 240,000 (£ 202,578, $247,399)",Unverified estimation
441,Christopher Wooh,cm CMR,DF,Rennes,22,"€ 4,615 (£ 3,896, $4,758)","€ 240,000 (£ 202,578, $247,399)",Unverified estimation
442,Ben Old,,LW,Saint-Étienne,22,"€ 4,615 (£ 3,896, $4,758)","€ 240,000 (£ 202,578, $247,399)",Unverified estimation
443,Louis Mouton,,DM,Saint-Étienne,22,"€ 4,615 (£ 3,896, $4,758)","€ 240,000 (£ 202,578, $247,399)",Unverified estimation
444,Denis Petrić,rs SRB,GK,Lens,36,"€ 4,615 (£ 3,896, $4,758)","€ 240,000 (£ 202,578, $247,399)",Unverified estimation
445,Elysée Logbo,,CF,Le Havre,20,"€ 4,231 (£ 3,567, $4,736)","€ 220,000 (£ 185,502, $246,247)",Unverified estimation
446,Doğan Alemdar,tr TUR,GK,Rennes,21,"€ 4,231 (£ 3,571, $4,361)","€ 220,000 (£ 185,697, $226,783)",Unverified estimation
447,Jeremy Agbonifo,,RW,Lens,19,"€ 4,231 (£ 3,567, $4,736)","€ 220,000 (£ 185,502, $246,247)",Unverified estimation
448,Yann Kitala,,FW,Le Havre,26,"€ 4,038 (£ 3,409, $4,163)","€ 210,000 (£ 177,256, $216,474)",Unverified estimation
449,Pierre Ekwah,,DM,Saint-Étienne,23,"€ 3,846 (£ 3,246, $3,965)","€ 200,000 (£ 168,815, $206,166)",Unverified estimation
450,Rareș Ilie,,AM,Nice,21,"€ 3,462 (£ 2,922, $3,568)","€ 180,000 (£ 151,934, $185,549)",Unverified estimation
451,Lucas Mincarelli,,LB,Montpellier,20,"€ 3,462 (£ 2,922, $3,568)","€ 180,000 (£ 151,934, $185,549)",Unverified estimation
452,Denis Genreau,au AUS,MF,Toulouse,25,"€ 3,462 (£ 2,922, $3,568)","€ 180,000 (£ 151,934, $185,549)",Unverified estimation
453,Halid Šabanović,ba BIH,RB,Angers,25,"€ 3,462 (£ 2,922, $3,568)","€ 180,000 (£ 151,934, $185,549)",Unverified estimation
454,Ousmane Camara,fr FRA,DF,Angers,21,"€ 3,462 (£ 2,922, $3,568)","€ 180,000 (£ 151,934, $185,549)",Unverified estimation
455,Yassin Belkhdim,fr FRA,MF,Angers,22,"€ 3,462 (£ 2,922, $3,568)","€ 180,000 (£ 151,934, $185,549)",Unverified estimation
456,Jérémy Sebas,,LW,Strasbourg,21,"€ 3,462 (£ 2,922, $3,568)","€ 180,000 (£ 151,934, $185,549)",Unverified estimation
457,Marc-Aurèle Caillard,fr FRA,GK,Lille,30,"€ 3,462 (£ 2,922, $3,568)","€ 180,000 (£ 151,934, $185,549)",Unverified estimation
458,Antoine Joujou,,LW,Le Havre,21,"€ 3,269 (£ 2,759, $3,370)","€ 170,000 (£ 143,493, $175,241)",Unverified estimation
459,Amidou Doumbouya,,CB,Nice,17,"€ 3,077 (£ 2,597, $3,172)","€ 160,000 (£ 135,052, $164,933)",Unverified estimation
460,Belmin Dizdarevic,,GK,Montpellier,23,"€ 3,077 (£ 2,597, $3,172)","€ 160,000 (£ 135,052, $164,933)",Unverified estimation
461,Ümit Akdağ,,CB,Toulouse,21,"€ 3,077 (£ 2,597, $3,172)","€ 160,000 (£ 135,052, $164,933)",Unverified estimation
